dataset_id,dataset_role,pocket_id,scenario_id,architecture,nominal_load_mw,rss_0p1_20hz_mw,rss_0p1_20hz_pct_load,p99_ramp_mw_s,p99_ramp_pct_load_per_s,p95_pcc_voltage_deviation_pct,voltage_support_location,voltage_support_role,var_coordination_risk,lel_vrt_event,lel_poi_min_voltage_pu,lel_service_min_voltage_pu,lel_grid_power_min_fraction,lel_load_served_min_fraction,lel_load_loss_max_mw,lel_current_max_pu,lel_current_over_125pct_s,lel_recovery_to_90pct_s,lel_multiple_sag_trip_risk,lel_ride_through_pass,lel_dc_buffer_event_mwh,buffer_energy_window_mwh
A,Full Texas Combined T&D,A-mpc-0001,C0,C0/C1 Traditional 400 V AC,308.0160000000001,38.83048915704088,12.606646783621912,126.12939333784068,40.9489745136099,5.484008355226115,none,baseline voltage-sensitive load without active dynamic VAR support,not applicable,eastern_interconnection_2024_repeated_voltage_sag_screen,0.25,0.25,0.425,0.425,177.10920000000004,1.7000000000000002,0.38,8.759999999999991,True,False,0.0,0.0
A,Full Texas Combined T&D,A-mpc-0001,C2,MV SST,308.0160000000001,22.770602234284997,7.392668638734674,54.68355543332957,17.753478856075517,3.258095580873262,34.5 kV AC side near the data-center SST,local distributed SST and dynamic VAR support at the data-center interface,"local Volt-VAR controls can fight nearby inverters or slower utility LTC, regulator, capacitor-bank, STATCOM or SVC controls without supervisory coordination",eastern_interconnection_2024_repeated_voltage_sag_screen,0.25,0.325,0.40625,0.40625,182.88450000000006,1.25,0.0,1.7800000000000011,False,True,0.0,0.0
A,Full Texas Combined T&D,A-mpc-0001,C3,Converted DC backbone,308.0160000000001,2.5583427485581067,0.8305876151102884,5.078502562888162,1.6487788176225135,0.6993211226135303,115/138 kV data-center interconnection AC side,centralized utility-side dynamic VAR support at the interconnection or AC/DC terminal,"centralized support reduces campus-to-campus control fighting but requires utility-side ownership, protection coordination and adequate high-voltage VAR rating",eastern_interconnection_2024_repeated_voltage_sag_screen,0.25,0.37,0.46249999999999997,1.0,0.0,1.25,0.0,1.019999999999996,False,True,0.1489676603997346,0.12882032370478588
A,Full Texas Combined T&D,A-mpc-0002,C0,C0/C1 Traditional 400 V AC,308.0160000000001,38.83048915704088,12.606646783621912,126.12939333784068,40.9489745136099,2.0679525810729618,none,baseline voltage-sensitive load without active dynamic VAR support,not applicable,eastern_interconnection_2024_repeated_voltage_sag_screen,0.25,0.25,0.425,0.425,177.10920000000004,1.7000000000000002,0.38,8.759999999999991,True,False,0.0,0.0
A,Full Texas Combined T&D,A-mpc-0002,C2,MV SST,308.0160000000001,22.770602234284997,7.392668638734674,54.68355543332957,17.753478856075517,1.2285880562943579,34.5 kV AC side near the data-center SST,local distributed SST and dynamic VAR support at the data-center interface,"local Volt-VAR controls can fight nearby inverters or slower utility LTC, regulator, capacitor-bank, STATCOM or SVC controls without supervisory coordination",eastern_interconnection_2024_repeated_voltage_sag_screen,0.25,0.325,0.40625,0.40625,182.88450000000006,1.25,0.0,1.7800000000000011,False,True,0.0,0.0
A,Full Texas Combined T&D,A-mpc-0002,C3,Converted DC backbone,308.0160000000001,2.5583427485581067,0.8305876151102884,5.078502562888162,1.6487788176225135,0.263705455359005,115/138 kV data-center interconnection AC side,centralized utility-side dynamic VAR support at the interconnection or AC/DC terminal,"centralized support reduces campus-to-campus control fighting but requires utility-side ownership, protection coordination and adequate high-voltage VAR rating",eastern_interconnection_2024_repeated_voltage_sag_screen,0.25,0.37,0.46249999999999997,1.0,0.0,1.25,0.0,1.019999999999996,False,True,0.1489676603997346,0.12882032370478588
A,Full Texas Combined T&D,A-mpc-0003,C0,C0/C1 Traditional 400 V AC,308.0160000000001,38.83048915704088,12.606646783621912,126.12939333784068,40.9489745136099,4.938039078447531,none,baseline voltage-sensitive load without active dynamic VAR support,not applicable,eastern_interconnection_2024_repeated_voltage_sag_screen,0.25,0.25,0.425,0.425,177.10920000000004,1.7000000000000002,0.38,8.759999999999991,True,False,0.0,0.0
A,Full Texas Combined T&D,A-mpc-0003,C2,MV SST,308.0160000000001,22.770602234284997,7.392668638734674,54.68355543332957,17.753478856075517,2.933730632327969,34.5 kV AC side near the data-center SST,local distributed SST and dynamic VAR support at the data-center interface,"local Volt-VAR controls can fight nearby inverters or slower utility LTC, regulator, capacitor-bank, STATCOM or SVC controls without supervisory coordination",eastern_interconnection_2024_repeated_voltage_sag_screen,0.25,0.325,0.40625,0.40625,182.88450000000006,1.25,0.0,1.7800000000000011,False,True,0.0,0.0
A,Full Texas Combined T&D,A-mpc-0003,C3,Converted DC backbone,308.0160000000001,2.5583427485581067,0.8305876151102884,5.078502562888162,1.6487788176225135,0.6296990828904426,115/138 kV data-center interconnection AC side,centralized utility-side dynamic VAR support at the interconnection or AC/DC terminal,"centralized support reduces campus-to-campus control fighting but requires utility-side ownership, protection coordination and adequate high-voltage VAR rating",eastern_interconnection_2024_repeated_voltage_sag_screen,0.25,0.37,0.46249999999999997,1.0,0.0,1.25,0.0,1.019999999999996,False,True,0.1489676603997346,0.12882032370478588
A,Full Texas Combined T&D,A-mpc-0004,C0,C0/C1 Traditional 400 V AC,308.0160000000001,38.83048915704088,12.606646783621912,126.12939333784068,40.9489745136099,4.426323505336547,none,baseline voltage-sensitive load without active dynamic VAR support,not applicable,eastern_interconnection_2024_repeated_voltage_sag_screen,0.25,0.25,0.425,0.425,177.10920000000004,1.7000000000000002,0.38,8.759999999999991,True,False,0.0,0.0
