time_s,poi_voltage_pu,griddyn_field
0.000000,1.01660454,gridpack_travis150_poi_voltage_pu
0.020000,1.01656852,gridpack_travis150_poi_voltage_pu
0.040000,1.01670801,gridpack_travis150_poi_voltage_pu
0.060000,1.01681083,gridpack_travis150_poi_voltage_pu
0.080000,1.01684617,gridpack_travis150_poi_voltage_pu
0.100000,1.01682941,gridpack_travis150_poi_voltage_pu
0.120000,1.01678109,gridpack_travis150_poi_voltage_pu
0.140000,1.01671722,gridpack_travis150_poi_voltage_pu
0.160000,1.01664852,gridpack_travis150_poi_voltage_pu
0.180000,1.01658159,gridpack_travis150_poi_voltage_pu
0.200000,1.01652022,gridpack_travis150_poi_voltage_pu
0.220000,1.01646632,gridpack_travis150_poi_voltage_pu
0.240000,1.01642061,gridpack_travis150_poi_voltage_pu
0.260000,1.01638305,gridpack_travis150_poi_voltage_pu
0.280000,1.01635317,gridpack_travis150_poi_voltage_pu
0.300000,1.01633025,gridpack_travis150_poi_voltage_pu
0.320000,1.01631347,gridpack_travis150_poi_voltage_pu
0.340000,1.01630196,gridpack_travis150_poi_voltage_pu
0.360000,1.01629492,gridpack_travis150_poi_voltage_pu
0.380000,1.01629159,gridpack_travis150_poi_voltage_pu
0.400000,1.01629128,gridpack_travis150_poi_voltage_pu
0.420000,1.01629342,gridpack_travis150_poi_voltage_pu
0.440000,1.01629750,gridpack_travis150_poi_voltage_pu
0.460000,1.01630309,gridpack_travis150_poi_voltage_pu
0.480000,1.01630985,gridpack_travis150_poi_voltage_pu
0.500000,1.01631747,gridpack_travis150_poi_voltage_pu
0.520000,1.01632573,gridpack_travis150_poi_voltage_pu
0.540000,1.01633442,gridpack_travis150_poi_voltage_pu
0.560000,1.01634339,gridpack_travis150_poi_voltage_pu
0.580000,1.01635251,gridpack_travis150_poi_voltage_pu
0.600000,1.01636168,gridpack_travis150_poi_voltage_pu
0.620000,1.01637081,gridpack_travis150_poi_voltage_pu
0.640000,1.01637983,gridpack_travis150_poi_voltage_pu
0.660000,1.01638868,gridpack_travis150_poi_voltage_pu
0.680000,1.01639732,gridpack_travis150_poi_voltage_pu
0.700000,1.01640570,gridpack_travis150_poi_voltage_pu
0.720000,1.01641378,gridpack_travis150_poi_voltage_pu
0.740000,1.01642154,gridpack_travis150_poi_voltage_pu
0.760000,1.01642896,gridpack_travis150_poi_voltage_pu
0.780000,1.01643601,gridpack_travis150_poi_voltage_pu
0.800000,1.01644267,gridpack_travis150_poi_voltage_pu
0.820000,1.01644893,gridpack_travis150_poi_voltage_pu
0.840000,1.01645478,gridpack_travis150_poi_voltage_pu
0.860000,1.01646021,gridpack_travis150_poi_voltage_pu
0.880000,1.01646523,gridpack_travis150_poi_voltage_pu
0.900000,1.01646984,gridpack_travis150_poi_voltage_pu
0.920000,1.01647403,gridpack_travis150_poi_voltage_pu
0.940000,1.01647782,gridpack_travis150_poi_voltage_pu
0.960000,1.01648122,gridpack_travis150_poi_voltage_pu
0.980000,1.01648425,gridpack_travis150_poi_voltage_pu
1.000000,0.10224176,gridpack_travis150_poi_voltage_pu
1.020000,0.09603573,gridpack_travis150_poi_voltage_pu
1.040000,0.09359132,gridpack_travis150_poi_voltage_pu
1.060000,0.09199350,gridpack_travis150_poi_voltage_pu
1.080000,0.90856399,gridpack_travis150_poi_voltage_pu
1.100000,0.94997064,gridpack_travis150_poi_voltage_pu
1.120000,0.97747884,gridpack_travis150_poi_voltage_pu
1.140000,0.99612096,gridpack_travis150_poi_voltage_pu
1.160000,1.00982130,gridpack_travis150_poi_voltage_pu
1.180000,1.02085653,gridpack_travis150_poi_voltage_pu
1.200000,1.03016450,gridpack_travis150_poi_voltage_pu
1.220000,1.03832361,gridpack_travis150_poi_voltage_pu
1.240000,1.04551542,gridpack_travis150_poi_voltage_pu
1.260000,1.05171547,gridpack_travis150_poi_voltage_pu
1.280000,1.05664112,gridpack_travis150_poi_voltage_pu
1.300000,1.06032734,gridpack_travis150_poi_voltage_pu
1.320000,1.06289990,gridpack_travis150_poi_voltage_pu
1.340000,1.06450612,gridpack_travis150_poi_voltage_pu
1.360000,1.06529789,gridpack_travis150_poi_voltage_pu
1.380000,1.06542110,gridpack_travis150_poi_voltage_pu
1.400000,1.06500934,gridpack_travis150_poi_voltage_pu
1.420000,1.06418067,gridpack_travis150_poi_voltage_pu
1.440000,1.06303649,gridpack_travis150_poi_voltage_pu
1.460000,1.06166178,gridpack_travis150_poi_voltage_pu
1.480000,1.06012630,gridpack_travis150_poi_voltage_pu
1.500000,1.05848618,gridpack_travis150_poi_voltage_pu
1.520000,1.05678588,gridpack_travis150_poi_voltage_pu
1.540000,1.05506012,gridpack_travis150_poi_voltage_pu
1.560000,1.05333568,gridpack_travis150_poi_voltage_pu
1.580000,1.05163314,gridpack_travis150_poi_voltage_pu
1.600000,1.04996823,gridpack_travis150_poi_voltage_pu
1.620000,1.04835312,gridpack_travis150_poi_voltage_pu
1.640000,1.04679727,gridpack_travis150_poi_voltage_pu
1.660000,1.04530816,gridpack_travis150_poi_voltage_pu
1.680000,1.04389177,gridpack_travis150_poi_voltage_pu
1.700000,1.04255285,gridpack_travis150_poi_voltage_pu
1.720000,1.04129508,gridpack_travis150_poi_voltage_pu
1.740000,1.04012115,gridpack_travis150_poi_voltage_pu
1.760000,1.03903267,gridpack_travis150_poi_voltage_pu
1.780000,1.03803016,gridpack_travis150_poi_voltage_pu
1.800000,1.03711301,gridpack_travis150_poi_voltage_pu
1.820000,1.03627937,gridpack_travis150_poi_voltage_pu
1.840000,1.03552623,gridpack_travis150_poi_voltage_pu
1.860000,1.03484939,gridpack_travis150_poi_voltage_pu
1.880000,1.03424360,gridpack_travis150_poi_voltage_pu
1.900000,1.03370268,gridpack_travis150_poi_voltage_pu
1.920000,1.03321967,gridpack_travis150_poi_voltage_pu
1.940000,1.03278709,gridpack_travis150_poi_voltage_pu
1.960000,1.03239711,gridpack_travis150_poi_voltage_pu
1.980000,1.03204183,gridpack_travis150_poi_voltage_pu
2.000000,1.03171349,gridpack_travis150_poi_voltage_pu
2.020000,1.03140469,gridpack_travis150_poi_voltage_pu
2.040000,1.03110861,gridpack_travis150_poi_voltage_pu
2.060000,1.03081918,gridpack_travis150_poi_voltage_pu
2.080000,1.03053116,gridpack_travis150_poi_voltage_pu
2.100000,1.03024029,gridpack_travis150_poi_voltage_pu
2.120000,1.02994326,gridpack_travis150_poi_voltage_pu
2.140000,1.02963775,gridpack_travis150_poi_voltage_pu
2.160000,1.02932237,gridpack_travis150_poi_voltage_pu
2.180000,1.02899653,gridpack_travis150_poi_voltage_pu
2.200000,1.02866037,gridpack_travis150_poi_voltage_pu
2.220000,1.02831461,gridpack_travis150_poi_voltage_pu
2.240000,1.02796037,gridpack_travis150_poi_voltage_pu
2.260000,1.02759907,gridpack_travis150_poi_voltage_pu
