time_s,poi_voltage_pu,griddyn_field
0.000000,1.01660454,gridpack_travis150_poi_voltage_pu
0.020000,1.01656852,gridpack_travis150_poi_voltage_pu
0.040000,1.01670801,gridpack_travis150_poi_voltage_pu
0.060000,1.01681083,gridpack_travis150_poi_voltage_pu
0.080000,1.01684617,gridpack_travis150_poi_voltage_pu
0.100000,1.01682941,gridpack_travis150_poi_voltage_pu
0.120000,1.01678109,gridpack_travis150_poi_voltage_pu
0.140000,1.01671722,gridpack_travis150_poi_voltage_pu
0.160000,1.01664852,gridpack_travis150_poi_voltage_pu
0.180000,1.01658159,gridpack_travis150_poi_voltage_pu
0.200000,1.01652022,gridpack_travis150_poi_voltage_pu
0.220000,1.01646632,gridpack_travis150_poi_voltage_pu
0.240000,1.01642061,gridpack_travis150_poi_voltage_pu
0.260000,1.01638305,gridpack_travis150_poi_voltage_pu
0.280000,1.01635317,gridpack_travis150_poi_voltage_pu
0.300000,1.01633025,gridpack_travis150_poi_voltage_pu
0.320000,1.01631347,gridpack_travis150_poi_voltage_pu
0.340000,1.01630196,gridpack_travis150_poi_voltage_pu
0.360000,1.01629492,gridpack_travis150_poi_voltage_pu
0.380000,1.01629159,gridpack_travis150_poi_voltage_pu
0.400000,1.01629128,gridpack_travis150_poi_voltage_pu
0.420000,1.01629342,gridpack_travis150_poi_voltage_pu
0.440000,1.01629750,gridpack_travis150_poi_voltage_pu
0.460000,1.01630309,gridpack_travis150_poi_voltage_pu
0.480000,1.01630985,gridpack_travis150_poi_voltage_pu
0.500000,1.01631747,gridpack_travis150_poi_voltage_pu
0.520000,1.01632573,gridpack_travis150_poi_voltage_pu
0.540000,1.01633442,gridpack_travis150_poi_voltage_pu
0.560000,1.01634339,gridpack_travis150_poi_voltage_pu
0.580000,1.01635251,gridpack_travis150_poi_voltage_pu
0.600000,1.01636168,gridpack_travis150_poi_voltage_pu
0.620000,1.01637081,gridpack_travis150_poi_voltage_pu
0.640000,1.01637983,gridpack_travis150_poi_voltage_pu
0.660000,1.01638868,gridpack_travis150_poi_voltage_pu
0.680000,1.01639732,gridpack_travis150_poi_voltage_pu
0.700000,1.01640570,gridpack_travis150_poi_voltage_pu
0.720000,1.01641378,gridpack_travis150_poi_voltage_pu
0.740000,1.01642154,gridpack_travis150_poi_voltage_pu
0.760000,1.01642896,gridpack_travis150_poi_voltage_pu
0.780000,1.01643601,gridpack_travis150_poi_voltage_pu
0.800000,1.01644267,gridpack_travis150_poi_voltage_pu
0.820000,1.01644893,gridpack_travis150_poi_voltage_pu
0.840000,1.01645478,gridpack_travis150_poi_voltage_pu
0.860000,1.01646021,gridpack_travis150_poi_voltage_pu
0.880000,1.01646523,gridpack_travis150_poi_voltage_pu
0.900000,1.01646984,gridpack_travis150_poi_voltage_pu
0.920000,1.01647403,gridpack_travis150_poi_voltage_pu
0.940000,1.01647782,gridpack_travis150_poi_voltage_pu
0.960000,1.01648122,gridpack_travis150_poi_voltage_pu
0.980000,1.01648425,gridpack_travis150_poi_voltage_pu
1.000000,0.10224176,gridpack_travis150_poi_voltage_pu
1.020000,0.09603573,gridpack_travis150_poi_voltage_pu
1.040000,0.88714409,gridpack_travis150_poi_voltage_pu
1.060000,0.93715589,gridpack_travis150_poi_voltage_pu
1.080000,0.97292571,gridpack_travis150_poi_voltage_pu
1.100000,0.99654521,gridpack_travis150_poi_voltage_pu
1.120000,1.01285654,gridpack_travis150_poi_voltage_pu
1.140000,1.02498390,gridpack_travis150_poi_voltage_pu
1.160000,1.03441617,gridpack_travis150_poi_voltage_pu
1.180000,1.04163015,gridpack_travis150_poi_voltage_pu
1.200000,1.04665617,gridpack_travis150_poi_voltage_pu
1.220000,1.04994094,gridpack_travis150_poi_voltage_pu
1.240000,1.05187235,gridpack_travis150_poi_voltage_pu
1.260000,1.05276878,gridpack_travis150_poi_voltage_pu
1.280000,1.05288926,gridpack_travis150_poi_voltage_pu
1.300000,1.05244199,gridpack_travis150_poi_voltage_pu
1.320000,1.05159196,gridpack_travis150_poi_voltage_pu
1.340000,1.05046792,gridpack_travis150_poi_voltage_pu
1.360000,1.04916870,gridpack_travis150_poi_voltage_pu
1.380000,1.04776869,gridpack_travis150_poi_voltage_pu
1.400000,1.04632274,gridpack_travis150_poi_voltage_pu
1.420000,1.04487022,gridpack_travis150_poi_voltage_pu
1.440000,1.04343855,gridpack_travis150_poi_voltage_pu
1.460000,1.04204607,gridpack_travis150_poi_voltage_pu
1.480000,1.04070438,gridpack_travis150_poi_voltage_pu
1.500000,1.03942025,gridpack_travis150_poi_voltage_pu
1.520000,1.03819710,gridpack_travis150_poi_voltage_pu
1.540000,1.03703616,gridpack_travis150_poi_voltage_pu
1.560000,1.03593734,gridpack_travis150_poi_voltage_pu
1.580000,1.03489981,gridpack_travis150_poi_voltage_pu
1.600000,1.03392248,gridpack_travis150_poi_voltage_pu
1.620000,1.03300422,gridpack_travis150_poi_voltage_pu
1.640000,1.03214401,gridpack_travis150_poi_voltage_pu
1.660000,1.03134098,gridpack_travis150_poi_voltage_pu
1.680000,1.03059435,gridpack_travis150_poi_voltage_pu
1.700000,1.02990340,gridpack_travis150_poi_voltage_pu
1.720000,1.02926731,gridpack_travis150_poi_voltage_pu
1.740000,1.02868510,gridpack_travis150_poi_voltage_pu
1.760000,1.02815548,gridpack_travis150_poi_voltage_pu
1.780000,1.02767681,gridpack_travis150_poi_voltage_pu
1.800000,1.02724698,gridpack_travis150_poi_voltage_pu
1.820000,1.02686343,gridpack_travis150_poi_voltage_pu
1.840000,1.02652312,gridpack_travis150_poi_voltage_pu
1.860000,1.02622256,gridpack_travis150_poi_voltage_pu
1.880000,1.02595784,gridpack_travis150_poi_voltage_pu
1.900000,1.02572478,gridpack_travis150_poi_voltage_pu
1.920000,1.02551895,gridpack_travis150_poi_voltage_pu
1.940000,1.02533582,gridpack_travis150_poi_voltage_pu
1.960000,1.02517086,gridpack_travis150_poi_voltage_pu
1.980000,1.02501964,gridpack_travis150_poi_voltage_pu
2.000000,1.02487799,gridpack_travis150_poi_voltage_pu
2.020000,1.02474203,gridpack_travis150_poi_voltage_pu
2.040000,1.02460828,gridpack_travis150_poi_voltage_pu
2.060000,1.02447373,gridpack_travis150_poi_voltage_pu
2.080000,1.02433585,gridpack_travis150_poi_voltage_pu
2.100000,1.02419263,gridpack_travis150_poi_voltage_pu
2.120000,1.02404258,gridpack_travis150_poi_voltage_pu
2.140000,1.02388468,gridpack_travis150_poi_voltage_pu
2.160000,1.02371837,gridpack_travis150_poi_voltage_pu
2.180000,1.02354348,gridpack_travis150_poi_voltage_pu
2.200000,1.02336018,gridpack_travis150_poi_voltage_pu
2.220000,1.02316889,gridpack_travis150_poi_voltage_pu
2.240000,1.02297027,gridpack_travis150_poi_voltage_pu
2.260000,1.02276510,gridpack_travis150_poi_voltage_pu
